代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
300609,汇纳科技,16.91,-2.31%,-0.40,4.81万,8223.89万,3.99%,17.50,16.81,17.42,17.31,0.51,5.32%,-103.21,1.73
002157,正邦科技,16.89,-2.31%,-0.40,42.26万,7.20亿,3.07%,17.36,16.83,17.35,17.29,0.98,1.86%,5.87,2.84
000157,中联重科,9.28,-2.32%,-0.22,80.54万,7.53亿,2.42%,9.49,9.26,9.41,9.50,0.73,1.24%,9.70,1.59
300489,中飞股份,32.41,-2.32%,-0.77,2.63万,8626.80万,5.82%,34.15,32.22,33.60,33.18,0.70,1.94%,357.96,12.14
002651,利君股份,10.93,-2.32%,-0.26,9.14万,1.01亿,4.02%,11.32,10.87,10.91,11.19,0.66,1.72%,62.42,4.90
300215,电科院,7.14,-2.33%,-0.17,7.52万,5429.72万,4.38%,7.42,7.10,7.26,7.31,0.70,1.34%,70.31,2.91
300799,左江科技,56.25,-2.33%,-1.34,9392,5326.74万,4.46%,58.63,56.06,57.68,57.59,0.92,2.89%,155.66,9.00
300056,中创环保,6.29,-2.33%,-0.15,7.56万,4771.96万,4.19%,6.48,6.21,6.43,6.44,1.25,1.96%,90.78,2.50
603603,博天环境,5.02,-2.33%,-0.12,4.43万,2238.32万,4.47%,5.21,4.98,5.21,5.14,0.60,1.73%,-21.23,2.33
300093,金刚玻璃,9.20,-2.34%,-0.22,4.34万,3986.95万,4.25%,9.43,9.03,9.41,9.42,0.94,2.26%,-30.58,3.39
002860,星帅尔,14.58,-2.34%,-0.35,2.00万,2936.78万,3.35%,14.93,14.43,14.84,14.93,0.68,1.48%,24.50,3.11
603786,科博达,66.99,-2.35%,-1.61,1.40万,9425.71万,7.96%,69.46,64.00,68.50,68.60,0.88,3.48%,62.68,7.80
002551,尚荣医疗,6.65,-2.35%,-0.16,10.93万,7246.88万,2.06%,6.71,6.57,6.70,6.81,0.52,2.02%,31.95,1.84
603439,贵州三力,19.92,-2.35%,-0.48,2.12万,4256.49万,2.84%,20.40,19.82,20.21,20.40,0.65,5.20%,125.09,8.66
603607,京华激光,14.93,-2.35%,-0.36,1.54万,2322.61万,2.81%,15.33,14.90,15.16,15.29,0.93,0.86%,28.79,3.08
600429,三元股份,4.97,-2.36%,-0.12,9.33万,4661.10万,2.55%,5.07,4.94,5.06,5.09,0.77,0.62%,-120.13,1.53
601126,四方股份,7.04,-2.36%,-0.17,8.72万,6225.89万,3.61%,7.29,7.03,7.27,7.21,0.81,1.07%,17.62,1.42
600490,鹏欣资源,4.54,-2.37%,-0.11,73.35万,3.38亿,6.67%,4.77,4.46,4.64,4.65,0.68,4.37%,112.92,1.59
002985,北摩高科,182.75,-2.37%,-4.43,1.32万,2.43亿,5.24%,190.00,180.20,185.00,187.18,0.65,3.50%,118.65,14.26
603618,杭电股份,5.76,-2.37%,-0.14,6.03万,3513.88万,2.71%,5.90,5.74,5.87,5.90,0.72,0.87%,26.05,1.57
002208,合肥城建,8.21,-2.38%,-0.20,4.04万,3347.58万,1.90%,8.37,8.21,8.31,8.41,0.70,0.79%,10.49,1.33
002595,豪迈科技,27.07,-2.38%,-0.66,4.97万,1.36亿,2.81%,27.85,27.07,27.84,27.73,1.06,0.94%,20.29,3.96
600508,上海能源,10.25,-2.38%,-0.25,14.79万,1.52亿,4.10%,10.56,10.13,10.51,10.50,0.60,2.05%,9.22,0.71
002434,万里扬,8.20,-2.38%,-0.20,13.92万,1.15亿,3.57%,8.47,8.17,8.43,8.40,0.82,1.19%,16.18,1.68
002349,精华制药,4.92,-2.38%,-0.12,4.42万,2193.60万,2.98%,5.03,4.88,5.03,5.04,0.75,0.54%,30.34,1.96
600529,山东药玻,50.76,-2.38%,-1.24,29.92万,15.39亿,5.92%,53.14,50.06,51.40,52.00,0.98,5.03%,54.66,7.36
